tech_number,number,name,years_life,years_from,years_to,description,detail_link,img_link
40,30,Ярослав Изяславич,? -1180,1173,1174,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577074/,
41,27,Роман Ростиславич,? -1180,1174,1176,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/576995/,
42,31,Святослав Всеволодович,? -1194,1176,1180,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577822/,
43,28,Рюрик Ростиславич,? -1212,1180,1181,Князь всея Руси.,https://www.runivers.ru/doc/rusland/knyaz1/577016/,
44,31,Святослав Всеволодович,? -1194,1181,1194,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577822/,
45,28,Рюрик Ростиславич,? -1212,1194,1202,Князь всея Руси.,https://www.runivers.ru/doc/rusland/knyaz1/577016/,
46,32,Ингварь Ярославич,,1202,1202,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577115/,
47,28,Рюрик Ростиславич,? -1212,1203,1205,"Князь всея Руси, великий князь Киевский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
48,32,Ингварь Ярославич,,1205,1205,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577115/,
49,28,Рюрик Ростиславич,? -1212,1205,1206,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
50,33,Всеволод Святославич Чермный,? -1212,1206,1206,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577125/,
51,28,Рюрик Ростиславич,? -1212,1206,1207,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
52,33,Всеволод Святославич Чермный,? -1212,1207,1207,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577125/,
53,28,Рюрик Ростиславич,? -1212,1207,1210,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
54,33,Всеволод Святославич Чермный,? -1212,1210,1212,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577125/,
55,32,Ингварь Ярославич,,1212,1212,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577115/,
