year,area,plus,minus
1689,14471079.43,,63577.26397
1690,14471079.43,,
1691,14471079.43,,
1692,14471079.43,,
1693,14471079.43,,
1694,14471079.43,,
1695,14471079.43,,
1696,14471079.43,,
1697,14931822.9,460743.4605,
1698,14931822.9,,
1699,14931822.9,,
1700,14932206,383.1014808,
1701,14932206,,
1702,14932206,,
1703,14993040.11,60834.11077,
1704,14993040.11,,
1705,14993040.11,,
1706,14993040.11,,
1707,14993040.11,,
1708,14993040.11,,
1709,15254068.81,261028.7067,
1710,15254068.81,,
1711,15156174.33,,97894.48791
1712,15161904.55,5730.228503,
1713,15161904.55,,
1714,15161904.55,,
1715,15161904.55,,
1716,15161904.55,,
1717,15161904.55,,
1718,15161904.55,,
1719,15161904.55,,
1720,15161904.55,,
1721,15293933.97,132029.4126,
1722,15293933.97,,
1723,15316848.17,22914.20399,
1724,15316848.17,,
1725,15316848.17,,
1726,15316848.17,,
1727,15378500.79,61652.62297,
1728,15378500.79,,
1729,15378500.79,,
1730,15378500.79,,
1731,16033774.74,655273.9503,
1732,17278633.62,1244858.876,
1733,17278633.62,,
1734,17278633.62,,
1735,17249516.96,,29116.66191
1736,17249516.96,,
1737,17249516.96,,
1738,17249516.96,,
1739,17334795.87,85278.90759,
1740,17334795.87,,
1741,17816393.77,481597.8995,
1742,17816393.77,,
1743,17830176.69,13782.92273,
1744,17830176.69,,
1745,17830176.69,,
1746,17830176.69,,
1747,17830176.69,,
1748,17830176.69,,
1749,17830176.69,,
1750,17830176.69,,
1751,17830176.69,,
1752,17830176.69,,
1753,17830176.69,,
1754,17830176.69,,
1755,17830176.69,,
1756,17830176.69,,
1757,17830176.69,,
1758,17830176.69,,
1759,17830176.69,,
1760,17830176.69,,
1761,17838238.95,8062.257143,
1762,17838238.95,,
1763,17838238.95,,
1764,17838238.95,,
1765,17838238.95,,
1766,17838238.95,,
1767,17838238.95,,
1768,17838238.95,,
1769,17838238.95,,
1770,17838238.95,,
1771,17838238.95,,
1772,17941843.32,103604.3744,
1773,17933781.06,,8062.257143
1774,18073191.68,139410.6135,
1775,18073191.68,,
1776,18073191.68,,
1777,18073191.68,,
1778,18073191.68,,
1779,18078446.52,5254.83849,
1780,18078446.52,,
1781,18078446.52,,
1782,18078446.52,,
1783,18136731.26,58284.7493,
1784,18195794.67,59063.40065,
1785,18195794.67,,
1786,18195794.67,,
1787,18195794.67,,
1788,18195794.67,,
1789,18195794.67,,
1790,18195794.67,,
1791,18222373.57,26578.9013,
1792,18228321.8,5948.231718,
1793,18472295.12,243973.3184,
1794,18472295.12,,
1795,18633363.46,161068.341,
1796,18633363.46,,
1797,18638378.65,5015.192154,
1798,18638378.65,,
1799,20152933.75,1514555.097,
1800,20158193.99,5260.239906,
1801,20158193.93,,
1802,20158193.93,,
1803,20162929.09,4735.160648,
1804,20171194.24,8265.147649,
1805,20176132.98,4938.740368,
1806,20191885.44,15752.46819,
1807,20201760.6,9875.155407,
1808,20190708.35,,11052.24893
1809,20510386.23,319677.8801,
1810,20520609.45,10223.21556,
1811,20530414.08,9804.636187,
1812,20576436.29,46022.2037,
1813,20647540.48,71104.19018,
1814,20647540.48,,9567.346163
1815,20759847.43,112306.9579,
1816,20765987.43,6139.99151,
1817,20765987.43,,
1818,20891306.34,125318.9126,
1819,20891306.34,,
1820,20891306.34,,
1821,20891306.34,,
1822,20891306.4,,
1823,20891306.34,,
1824,20891306.34,,
1825,20891306.34,,
1826,20887060.4,,4245.940272
1827,20887060.4,,
1828,20913512.42,26452.02658,
1829,20948525.65,35013.223,
1830,20914302.5,,34223.15068
1831,20914302.5,,
1832,20915624.06,1321.566396,
1833,20920155.87,4531.806505,
1834,20920155.87,,
1835,20920155.87,,
1836,20920155.87,,
1837,20920155.87,,
1838,20920155.87,,
1839,20920155.87,,
1840,20920155.87,,
1841,20920155.87,,
1842,20920183.34,,
1843,20920183.34,,
1844,20920183.34,,
1845,20920183.34,,
1846,20920183.34,,
1847,20920183.34,,
1848,20920183.34,,
1849,20920183.34,,
1850,20920183.34,,
1851,20920183.34,,
1852,20920183.34,,
1853,20970344.72,50161.37718,
1854,21302399.91,332055.1915,
1855,21302399.91,,
1856,21302399.91,,
1857,21290212.73,,
1858,21805521.79,515309.0535,
1859,21811208.74,5686.949659,
1860,22106266.24,295057.4996,
1861,22144031.42,37765.18466,
1862,22144031.42,,
1863,22144031.42,,
1864,22144031.42,,
1865,22466597.8,322566.3799,
1866,22504331.53,37733.72765,
1867,22504331.53,,
1868,21241622.56,,1262708.971
1869,21241622.5,,
1870,21555096.68,313474.1834,
1871,21572405.58,17308.89857,
1872,21651038.05,78632.4735,
1873,21853238.49,202200.435,
1874,21853238.43,,
1875,21853238.43,,
1876,21884087.97,30849.53761,
1877,21903665.53,19577.56723,
1878,22035243.22,131577.6895,
1879,22035243.22,,
1880,22035243.22,,
1881,22070751.04,35507.81833,
1882,22070751.04,,
1883,22070751.04,,
1884,22070751.04,,
1885,22221727.91,150976.8711,
1886,22221727.91,,
1887,22221727.91,,
1888,22221727.91,,
1889,22221727.91,,
1890,22221727.91,,
1891,22221727.91,,
1892,22221727.91,,
1893,22221727.91,,
1894,22221727.91,,
1895,22281689.73,59961.8138,
1896,22281689.73,,
1897,22281689.73,,
1898,22284201.07,2511.340863,
1899,22284201.07,,
1900,22284201.07,,
1901,22284201.07,,
1902,22284201.07,,
1903,22284201.07,,
1904,22284201.07,,
1905,22248267.19,,35933.87701
1906,22248267.25,,
1907,22248267.25,,
1908,22250110.26,1843.013473,
1909,22250110.26,,
1910,22250110.26,,
1911,22257802.59,7692.329098,
1912,22257802.59,,
1913,22293727.46,35924.87207,
1914,22456126.35,162398.8839,
1915,22450892.36,,
1916,22450892.36,,
1917,22450892.36,,
1918,21276411.84,,1174480.516
1919,21276411.9,,
1920,21043093.4,,233318.4996
1921,20756004.21,,287089.1937
1922,21611434.78,855430.5699,
1923,21611434.78,,
1924,21611434.78,,
1925,21611434.78,,
1926,21626377.39,14942.61573,
1927,21626377.39,,
1928,21626377.39,,
1929,21626377.39,,
1930,21626943.94,566.5502395,
1931,21626943.94,,
1932,21636091.93,9147.985206,
1933,21636091.93,,
1934,21636091.93,,
1935,21636091.93,,
1936,21636091.93,,
1937,21636091.93,,
1938,21636091.93,,
1939,21827360.89,191268.9588,
1940,22053102.31,225741.4239,
1941,22053102.31,,
1942,22053102.31,,
1943,22053102.31,,
1944,22053972.33,870.0171336,
1945,22254000.72,200028.3936,
1946,22119908.69,,134092.031
1947,22119908.69,,
1948,22119908.69,,
1949,22118534.84,,1373.849223
1950,22118534.84,,
1951,22117160.99,51.61097486,
1952,22117212.6,,
1953,22144201.19,,
1954,22144201.19,,
1955,22114160.1,,3381.086784
1956,22114160.1,,
1957,22114160.1,,
1958,22114160.1,,
1959,22114160.1,,
1960,22114160.1,,
1961,22114160.1,,
1962,22114160.1,,
1963,22114160.1,,
1964,22114160.1,,
1965,22114160.1,,
1966,22114160.1,,
1967,22114160.1,,
1968,22114160.1,,
1969,22114160.1,,
1970,22114160.1,,
1971,22114160.1,,
1972,22114160.1,,
1973,22114160.1,,
1974,22114160.1,,
1975,22114160.1,,
1976,22114160.1,,
1977,22114160.1,,
1978,22114160.1,,
1979,22114160.1,,
1980,22114160.1,,
1981,22114160.1,,
1982,22114160.1,,
1983,22114160.1,,
1984,22114160.1,,
1985,22114160.1,,
1986,22114160.1,,
1987,22114160.1,,
1988,22114160.1,,
1989,22114160.1,,
1990,22114160.1,,
1991,16920289.81,,5193870.293
1992,16916584.51,,
1993,16916584.51,,
1994,16916584.51,,
1995,16916584.51,,
1996,16916584.51,,
1997,16916584.51,,
1998,16916584.51,,
1999,16916584.51,,
2000,16916584.51,,
2001,16916584.51,,
2002,16916584.51,,
2003,16916584.51,,
2004,16915906.73,,677.7749395
2005,16915906.79,,
2006,16915906.79,,
2007,16915906.79,,
2008,16915906.79,,
2009,16915906.79,,
2010,16915906.79,,
2011,16915906.79,,
2012,16915906.79,,
2013,16915906.79,,
2014,16941581.27,25674.48063,
2015,16941581.27,,
2016,16941581.27,,
2017,16941581.27,,
2018,16941581.27,,
